Méthode,Type,precision,recall,mrr
TF-IDF,Unimodal Texte,0.36,0.36,0.6622222222222222
Embeddings,Unimodal Texte,0.3666666666666666,0.3666666666666666,0.6611111111111111
ResNet-50,Unimodal Visuel,0.3866666666666666,0.3866666666666666,0.3644444444444444
ViT,Unimodal Visuel,0.4466666666666666,0.4466666666666666,0.3158333333333333
S1: Concaténation,Multimodal,0.5333333333333333,0.5333333333333333,0.8194444444444444
S2: Moyenne α=0.5,Multimodal,0.5,0.5,0.8333333333333334
S3: CLIP,Multimodal,0.5,0.5,0.8194444444444443
